L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
38.5903,37.899,60.2341,1.53287,1.26031,1.44055,108.883,0.0389842,7.33665,6.64533,39.588,1.50591,0.614049,0.794291,22.7011,0.0212646,1.65504,1.33647,7.65727,3.35492
38.5903,37.899,60.2337,1.53987,1.25694,1.43834,108.827,0.0376177,7.33665,6.64533,39.5876,1.51291,0.610683,0.792081,22.6453,0.0209507,1.65597,1.3364,7.67689,3.35452
38.5903,37.899,60.2336,1.47729,1.25652,1.43786,108.825,0.0382063,7.33665,6.64533,39.5874,1.45033,0.61026,0.791604,22.644,0.0206897,1.656,1.33701,7.67769,3.35835
38.5903,37.899,60.2339,1.55582,1.25863,1.43955,108.856,0.0385842,7.33665,6.64533,39.5878,1.52885,0.612367,0.793292,22.6746,0.0209954,1.65548,1.33625,7.66661,3.35354
38.5903,37.899,60.2341,1.5462,1.25971,1.43993,108.879,0.0388228,7.33665,6.64533,39.5879,1.51923,0.613447,0.793672,22.6972,0.0212466,1.65512,1.33634,7.6589,3.35411
38.5903,37.899,60.2334,1.57251,1.25608,1.43768,108.827,0.0379543,7.33665,6.64533,39.5872,1.54555,0.609819,0.791426,22.6457,0.0211934,1.65599,1.33609,7.67718,3.35256
38.5903,37.899,60.234,1.47139,1.25901,1.43979,108.849,0.0390418,7.33665,6.64533,39.5878,1.44442,0.612746,0.793534,22.6676,0.0209991,1.65557,1.33706,7.66866,3.35868
38.5903,37.899,60.2328,1.46012,1.25562,1.43755,108.802,0.0389947,7.33665,6.64533,39.5866,1.43316,0.609361,0.79129,22.62,0.020921,1.65636,1.33719,7.68565,3.35945
38.5903,37.899,60.2336,1.453,1.25821,1.43896,108.827,0.037419,7.33665,6.64533,39.5875,1.42604,0.611947,0.792696,22.6451,0.0203564,1.65595,1.33725,7.67656,3.35983
38.5903,37.899,60.233,1.59316,1.2563,1.43818,108.787,0.0391125,7.33665,6.64533,39.5868,1.5662,0.61004,0.791925,22.6059,0.0212665,1.65655,1.3359,7.68964,3.35133
38.5903,37.899,60.2325,1.55618,1.25313,1.43598,108.736,0.0391325,7.33665,6.64533,39.5863,1.52921,0.606872,0.789718,22.554,0.0214052,1.6574,1.33626,7.70796,3.35361
38.5903,37.899,60.2338,1.62448,1.25809,1.43915,108.848,0.0389337,7.33665,6.64533,39.5876,1.59751,0.611834,0.792891,22.6662,0.0212077,1.65562,1.33559,7.66953,3.34937
38.5903,37.899,60.2326,1.67314,1.25423,1.4367,108.774,0.0389006,7.33665,6.64533,39.5864,1.64617,0.607971,0.790437,22.5921,0.0217683,1.65681,1.33513,7.69502,3.3465
38.5903,37.899,60.2327,1.50798,1.25486,1.43695,108.787,0.0394063,7.33665,6.64533,39.5865,1.48102,0.608599,0.790693,22.6055,0.0210088,1.65659,1.33672,7.69069,3.35653
38.5903,37.899,60.234,1.4834,1.25845,1.43927,108.817,0.0379376,7.33665,6.64533,39.5878,1.45644,0.612195,0.793009,22.6358,0.0205121,1.65607,1.33695,7.67927,3.35795
38.5903,37.899,60.233,1.38974,1.25646,1.43818,108.784,0.0369435,7.33665,6.64533,39.5868,1.36277,0.610203,0.791924,22.6024,0.0200799,1.65663,1.33786,7.69109,3.36374
38.5903,37.899,60.2325,1.6702,1.25328,1.43615,108.761,0.0378662,7.33665,6.64533,39.5864,1.64323,0.607025,0.789891,22.5798,0.0214417,1.65703,1.33516,7.69957,3.34668
38.5903,37.899,60.2323,1.50721,1.25389,1.43648,108.753,0.0366155,7.33665,6.64533,39.5861,1.48025,0.607634,0.79022,22.5713,0.0203024,1.65716,1.33673,7.70235,3.3566
38.5903,37.899,60.2338,1.48615,1.25924,1.43989,108.836,0.0370331,7.33665,6.64533,39.5876,1.45918,0.612985,0.793628,22.6542,0.0204703,1.65579,1.33692,7.67297,3.35779
38.5903,37.899,60.2328,1.6336,1.25554,1.43777,108.785,0.0393457,7.33665,6.64533,39.5866,1.60664,0.609283,0.791509,22.6038,0.0216085,1.6566,1.33551,7.69058,3.34888
38.5903,37.899,60.2339,1.54299,1.25809,1.43901,108.822,0.037149,7.33665,6.64533,39.5877,1.51603,0.611835,0.792747,22.6404,0.0208189,1.65603,1.33637,7.67791,3.35432
38.5903,37.899,60.2332,1.47474,1.25757,1.43878,108.818,0.0393807,7.33665,6.64533,39.587,1.44777,0.61131,0.792522,22.6365,0.0208233,1.65606,1.33704,7.67939,3.35853
38.5903,37.899,60.2327,1.61329,1.25546,1.43781,108.774,0.0386293,7.33665,6.64533,39.5865,1.58633,0.609199,0.791553,22.5921,0.021473,1.65678,1.33571,7.69438,3.35012
38.5903,37.899,60.2323,1.47657,1.25503,1.43739,108.797,0.0379321,7.33665,6.64533,39.5861,1.4496,0.608775,0.791134,22.6158,0.0207018,1.65645,1.33703,7.68732,3.35847
38.5903,37.899,60.2334,1.54012,1.25756,1.43871,108.844,0.0372496,7.33665,6.64533,39.5872,1.51315,0.611299,0.792455,22.6627,0.020957,1.65571,1.33641,7.67104,3.35453
38.5903,37.899,60.233,1.50108,1.25461,1.43706,108.777,0.0380715,7.33665,6.64533,39.5868,1.47411,0.608354,0.790802,22.5959,0.0206099,1.65676,1.33679,7.69394,3.35693
38.5903,37.899,60.2329,1.49424,1.25417,1.43667,108.755,0.0378315,7.33665,6.64533,39.5867,1.46727,0.607915,0.790414,22.5734,0.0211201,1.65711,1.33685,7.70127,3.35736
38.5903,37.899,60.2342,1.50795,1.26006,1.44029,108.884,0.0387279,7.33665,6.64533,39.5881,1.48098,0.613802,0.794035,22.7025,0.0209739,1.65504,1.33671,7.65708,3.35644
38.5903,37.899,60.2338,1.61718,1.25773,1.43893,108.82,0.0382763,7.33665,6.64533,39.5876,1.59021,0.611474,0.792666,22.6387,0.0213702,1.65604,1.33566,7.67843,3.34982
38.5903,37.899,60.2334,1.47346,1.25699,1.43858,108.818,0.0370631,7.33665,6.64533,39.5872,1.44649,0.610731,0.792321,22.6369,0.020386,1.6561,1.33705,7.67967,3.35859
38.5903,37.899,60.2343,1.47669,1.26085,1.44074,108.885,0.0395153,7.33665,6.64533,39.5881,1.44972,0.61459,0.794484,22.7036,0.0209442,1.65499,1.33701,7.65635,3.35834
38.5903,37.899,60.233,1.37615,1.2564,1.43833,108.799,0.0365318,7.33665,6.64533,39.5868,1.34918,0.610137,0.79207,22.6179,0.019886,1.65641,1.338,7.68617,3.36457
38.5903,37.899,60.2336,1.4439,1.25825,1.43948,108.832,0.039342,7.33665,6.64533,39.5874,1.41694,0.611995,0.793225,22.651,0.0207456,1.65583,1.33733,7.67437,3.36039
38.5903,37.899,60.2327,1.54516,1.25449,1.43674,108.781,0.0374033,7.33665,6.64533,39.5865,1.51819,0.608232,0.790484,22.5992,0.0208273,1.65672,1.33636,7.69297,3.35426
