1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.016353,-0.046449,-0.028388,-0.100221,-0.033873,-0.060757,-0.106919,0.006807,0.506376,0.551893,0.516142,0.593527,0.569258,0.567116,0.689306,0.598628
-0.022170,-0.042277,-0.025923,-0.102985,-0.035282,-0.060785,-0.108351,0.006764,0.500917,0.550751,0.517010,0.594709,0.569183,0.566725,0.689747,0.597706
-0.020959,-0.045351,-0.029584,-0.098926,-0.035585,-0.062910,-0.107274,0.007758,0.498173,0.548368,0.516470,0.590189,0.571599,0.566274,0.690677,0.598495
-0.018283,-0.043814,-0.028150,-0.101548,-0.034611,-0.059016,-0.109043,0.007956,0.493088,0.549707,0.517136,0.593776,0.571527,0.565283,0.688776,0.598715
-0.011959,-0.045798,-0.029047,-0.101293,-0.036419,-0.061281,-0.109361,0.007299,0.494539,0.549675,0.518445,0.590618,0.572803,0.565520,0.689205,0.599058
-0.006305,-0.045876,-0.027508,-0.103031,-0.037122,-0.061196,-0.109840,0.006733,0.497021,0.553132,0.517420,0.592300,0.573648,0.566240,0.689625,0.599624
-0.010570,-0.044744,-0.026825,-0.102018,-0.036396,-0.061300,-0.109083,0.007577,0.493540,0.550784,0.516869,0.593323,0.570992,0.565672,0.690346,0.599200
-0.011732,-0.042479,-0.029115,-0.101708,-0.035863,-0.061517,-0.109272,0.005343,0.496224,0.548748,0.517408,0.594499,0.571186,0.567332,0.689367,0.599987
-0.018642,-0.047875,-0.026552,-0.098072,-0.037201,-0.064267,-0.109332,0.007571,0.502302,0.550831,0.518459,0.597280,0.571029,0.568526,0.689325,0.598820
-0.010808,-0.049293,-0.028470,-0.099538,-0.034935,-0.063403,-0.109713,0.007484,0.497205,0.552854,0.518406,0.591372,0.572546,0.566333,0.691177,0.597645
-0.015384,-0.050269,-0.029092,-0.102618,-0.036083,-0.063136,-0.110194,0.007592,0.498062,0.552932,0.518888,0.593422,0.570987,0.566674,0.689994,0.599014
-0.016108,-0.045622,-0.029969,-0.100760,-0.037468,-0.063607,-0.109948,0.007777,0.499572,0.551305,0.518161,0.593386,0.572594,0.568013,0.690181,0.598139
-0.014489,-0.044834,-0.029216,-0.101238,-0.037922,-0.063350,-0.109730,0.007905,0.489644,0.545042,0.518545,0.592450,0.574748,0.566993,0.688915,0.598945
-0.024791,-0.040816,-0.028372,-0.101226,-0.037323,-0.061064,-0.110379,0.008444,0.501682,0.548635,0.519344,0.591394,0.571853,0.566895,0.690158,0.597245
-0.015764,-0.042874,-0.027157,-0.102422,-0.040294,-0.062920,-0.109819,0.007601,0.498256,0.554485,0.517885,0.590763,0.572461,0.568295,0.689789,0.597803
-0.008454,-0.044388,-0.027811,-0.100832,-0.036829,-0.062271,-0.109846,0.007226,0.485342,0.550785,0.517966,0.590922,0.569752,0.569285,0.690071,0.598478
-0.011132,-0.048970,-0.028311,-0.105911,-0.038131,-0.062740,-0.110626,0.006875,0.497833,0.551327,0.518130,0.598960,0.568596,0.570474,0.691309,0.597844
-0.017666,-0.046051,-0.027283,-0.101756,-0.036887,-0.061978,-0.109857,0.007622,0.495877,0.549344,0.518208,0.594267,0.565691,0.570007,0.689646,0.598455
-0.012188,-0.049089,-0.027199,-0.099703,-0.036982,-0.061313,-0.110539,0.008577,0.500316,0.552023,0.518923,0.590725,0.567004,0.568655,0.690287,0.598522
-0.019501,-0.048882,-0.026009,-0.099352,-0.036501,-0.063450,-0.110468,0.007246,0.498038,0.549991,0.518658,0.590067,0.569102,0.568094,0.690090,0.599504
-0.011638,-0.045156,-0.024616,-0.096670,-0.035660,-0.063548,-0.108528,0.006953,0.497871,0.547403,0.517344,0.589856,0.569869,0.567545,0.690324,0.597753
-0.019361,-0.043053,-0.028940,-0.102039,-0.035837,-0.064486,-0.110247,0.006980,0.499795,0.545751,0.519925,0.594619,0.571229,0.569066,0.690673,0.597069
-0.015816,-0.046396,-0.025404,-0.101366,-0.035359,-0.060204,-0.109433,0.006878,0.494171,0.551718,0.517891,0.594707,0.573962,0.566588,0.688900,0.597319
-0.023612,-0.040969,-0.028025,-0.099503,-0.034918,-0.062437,-0.109796,0.007283,0.495461,0.553195,0.518020,0.596050,0.569700,0.567642,0.689480,0.596423
-0.015989,-0.047828,-0.028320,-0.105836,-0.037859,-0.064402,-0.109234,0.007730,0.497018,0.552516,0.515917,0.596273,0.570499,0.568884,0.688748,0.596938
-0.008914,-0.045532,-0.030677,-0.099741,-0.035465,-0.063794,-0.109871,0.006099,0.499588,0.549631,0.516162,0.592841,0.569061,0.568538,0.689511,0.597695
-0.018025,-0.044638,-0.026437,-0.098361,-0.035761,-0.062943,-0.109635,0.006739,0.493855,0.549587,0.518320,0.596002,0.567864,0.570539,0.689304,0.597878
-0.011874,-0.044127,-0.031440,-0.102728,-0.036519,-0.062177,-0.111158,0.006230,0.498421,0.551203,0.519367,0.601075,0.572268,0.569017,0.689298,0.597109
