1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001537,-0.000131,0.000693,-0.000188,0.000004,-0.000203,-0.000023,-0.000159,0.030761,0.016184,0.018504,0.012747,0.012937,0.013091,0.006891,0.010408
-0.002279,-0.002223,-0.000041,-0.000478,0.000026,-0.000012,-0.000029,-0.000183,0.032346,0.025409,0.016695,0.019852,0.013302,0.010947,0.007188,0.008467
0.001754,-0.000829,0.000461,0.000247,-0.000076,-0.000005,0.000040,0.000085,0.032709,0.018983,0.017041,0.016672,0.020591,0.016736,0.005808,0.009959
-0.002170,0.001187,0.000729,0.000266,0.000255,0.000668,0.000017,-0.000061,0.024705,0.023138,0.021792,0.014162,0.016285,0.016642,0.007683,0.009727
0.003635,0.001052,-0.000274,0.000051,-0.000237,0.000068,0.000009,0.000378,0.032553,0.019678,0.023464,0.015490,0.019639,0.015715,0.005944,0.011111
-0.004286,0.001240,-0.000057,0.000079,0.000349,0.000177,0.000039,0.000037,0.028147,0.018585,0.018985,0.014204,0.017809,0.015996,0.006164,0.010591
0.005027,-0.001497,0.000003,0.000090,0.000120,-0.000140,0.000013,-0.000012,0.030664,0.022876,0.021881,0.014635,0.015417,0.015440,0.005439,0.009489
0.000633,0.001094,0.000103,0.000641,0.000285,0.000031,-0.000008,-0.000317,0.032784,0.021585,0.019285,0.018046,0.019702,0.011306,0.007010,0.006981
0.001374,0.000552,-0.001767,-0.000459,-0.000512,-0.000507,0.000011,0.000085,0.033764,0.017041,0.024575,0.018039,0.018209,0.016116,0.006035,0.008423
-0.000597,-0.001473,-0.000753,-0.000537,-0.000030,-0.000077,0.000017,-0.000195,0.029403,0.016518,0.021929,0.014647,0.017047,0.017020,0.006489,0.010260
0.000705,-0.000002,0.000212,0.000389,-0.000129,0.000038,-0.000001,-0.000244,0.031553,0.023312,0.022107,0.017493,0.018353,0.015482,0.005048,0.010802
0.002622,0.002235,0.000127,0.000227,0.000177,0.000194,0.000018,0.000006,0.036073,0.026233,0.017799,0.017367,0.019513,0.013247,0.005249,0.009141
0.002894,-0.000004,-0.000594,-0.000369,-0.000068,-0.000048,0.000004,-0.000153,0.029708,0.020731,0.020460,0.016954,0.012964,0.012739,0.005578,0.010353
-0.001772,-0.000550,0.000172,0.000320,0.000012,0.000121,0.000035,-0.000165,0.027630,0.022513,0.022478,0.015868,0.019113,0.015917,0.006743,0.008354
-0.004756,-0.000046,0.000443,0.000161,-0.000094,0.000450,-0.000011,-0.000024,0.037337,0.024614,0.018105,0.017104,0.019402,0.016121,0.006261,0.007813
-0.004973,0.000384,0.000017,0.000221,-0.000263,0.000034,0.000041,-0.000403,0.026156,0.018033,0.024705,0.016536,0.019950,0.012506,0.007659,0.010474
-0.005498,0.001806,0.000003,0.000639,0.000409,0.000351,0.000060,-0.000403,0.034146,0.019623,0.017875,0.018199,0.020154,0.016386,0.007793,0.008043
0.003508,0.003195,0.000127,-0.000030,0.000123,0.000093,0.000018,-0.000458,0.026156,0.024945,0.022090,0.017423,0.019497,0.015346,0.005573,0.011430
-0.001501,0.002065,-0.000503,0.000289,-0.000060,0.000310,0.000001,-0.000104,0.032199,0.022221,0.019641,0.018491,0.014208,0.012675,0.005887,0.009182
0.002351,-0.000639,-0.000440,-0.000084,0.000047,-0.000053,0.000001,-0.000305,0.028034,0.022438,0.015423,0.017154,0.016582,0.010954,0.004876,0.012068
0.005263,0.000281,-0.000616,0.000336,-0.000209,0.000046,-0.000048,-0.000055,0.030383,0.017715,0.016841,0.014578,0.020130,0.015746,0.007880,0.009707
-0.000181,-0.000781,0.000501,-0.000329,0.000102,0.000111,0.000010,-0.000214,0.027233,0.018153,0.017819,0.016704,0.011938,0.011775,0.006658,0.008444
